,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
3679,,,,,,,,9404410002.0,,,0,2,right_only,2,0
3680,,,,,,,,9404410003.0,,,0,2,right_only,2,0
3681,,,,,,,,9404410004.0,,,0,2,right_only,2,0
3682,,,,,,,,9404420001.0,,,0,3,right_only,3,0
3683,,,,,,,,9404420002.0,,,0,2,right_only,2,0
3684,,,,,,,,9404420003.0,,,0,4,right_only,4,0
3685,,,,,,,,9404420004.0,,,0,1,right_only,1,0
3686,,,,,,,,9404420005.0,,,0,4,right_only,4,0
3687,,,,,,,,9404430004.0,,,0,1,right_only,1,0
3688,,,,,,,,9404450001.0,,,0,1,right_only,1,0
3689,,,,,,,,9404450002.0,,,0,1,right_only,1,0
3690,,,,,,,,9404450003.0,,,0,2,right_only,2,0
3691,,,,,,,,9404470002.0,,,0,1,right_only,1,0
