,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
1899,PRATEADO,C,VESTUARIO,C5,C5C,C5CA,BRINCO GEOMETRICO TRIANGULO PRATEADO LTB,9514790001.0,CURTO,BRINCO,7,0,left_only,-7,7
1900,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK USED TANK SKY RA,9479720002.0,38,CALÇA JEANS,1,0,left_only,-1,1
1901,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK LAVAGEM COM USED FILIGR,9440870001.0,36,CALÇA JEANS,2,0,left_only,-2,2
1902,PRETO,C,VESTUARIO,C7,C7A,C7AK,CALC TG BAS KIT 2X1  PTO CHOCO LIV C7 P,8516950001.0,P,KIT CALCINHA,1,1,both,0,0
1903,JEANS,C,VESTUARIO,CY,CYA,CYAH,SHORT JEANS JV MSA INK ELASTICO CINTURA,9592950006.0,44,SAIA,3,0,left_only,-3,3
1904,JEANS,C,VESTUARIO,CY,CYA,CYAF,TOP SEM MANGA CY SAW EVT LAN MARCA DE TE,9703600003.0,40,TOP,2,0,left_only,-2,2
1905,MARROM,C,VESTUARIO,CY,CYA,CYAD,SAIA   SAW MARCA DE TERCEIROS MARROM DES,9660000003.0,40,BOTTOM CURTO JEANS,2,0,left_only,-2,2
1906,ROSA,C,VESTUARIO,CY,CYA,CYAH,BERMUDA SARJA CF MSA INK MEIA COXA VISTA,9593120003.0,40,SAIA,2,0,left_only,-2,2
1907,JEANS,C,VESTUARIO,CY,CYC,CYCD,BERMUDA PS PRD COM RASGOS 02FE00603 JEAN,9633180004.0,52,BOTTOM CURTO JEANS PLUS,2,0,left_only,-2,2
1908,JEANS,C,VESTUARIO,CY,CYA,CYAF,TOP SEM MANGA JEANS CRN PRD INK CORSET L,9594460002.0,38,TOP,2,2,both,0,0
1909,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK VISTA ABOTOADA E,9480150005.0,42,BOTTOM CURTO JEANS,2,0,left_only,-2,2
1910,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA CY SAW MARCA DE TERCEIROS MOM LISO,9692450002.0,36,CALÇA JEANS,2,0,left_only,-2,2
1911,CINZA,C,VESTUARIO,CN,CNC,CNCK,CALCINHA JV CN SLO ELLA CACHORRO  ESTAMP,9456460001.0,G,KIT CALCINHA,3,3,both,0,0
1912,CHOCOLATE,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN PUSH UP ESS C9 PRD RENDA CHOCOLA,9316940001.0,42,SOUTIEN / TOP,3,0,left_only,-3,3
1913,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9384110005.0,42,BOTTOM CURTO JEANS,2,0,left_only,-2,2
1914,PRETO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN BASE ESS C9 PRD RENDA BOJO PRETO,7944140003.0,44,SOUTIEN / TOP,1,0,left_only,-1,1
1915,JEANS,C,VESTUARIO,CY,CYA,CYAF,BLUSA MANGA CURTA JEANS CRN PRD INK MANG,9420930004.0,42,TOP,2,0,left_only,-2,2
1916,MARROM,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MAIS ACESSORIOS OCULOS FEMINI,9718550001.0,UNICO,ÓCULOS METAL,1,1,both,0,0
1917,PRETO,C,VESTUARIO,C8,C8D,C8DB,BERMUDA EVT PAIS C8 PRD INFO INK COM COR,9483920002.0,6,BERMUDA,3,0,left_only,-3,3
1918,AZUL,C,VESTUARIO,CR,CRB,CRBK,CALCINHA CR PRD ELLA GRAVATARIA ESTAMPAD,9390120004.0,P,KIT CALCINHA,2,2,both,0,0
1919,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK LAVAGEM COM USED BIGODE,9440490002.0,38,CALÇA JEANS,1,0,left_only,-1,1
1920,ROSA,C,VESTUARIO,CR,CRA,CRAT,SOUTIEN CR SLO ELLA RENDA  LISO ROSA 44,9647260001.0,44,SOUTIEN / TOP,3,1,both,-2,2
1921,AZUL,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS APP TRS COM BOJO POA REF 4287,7744280002.0,42,SOUTIEN / TOP,1,1,both,0,0
